round,source,organization,amount_usd,receiving_charity,purpose,note,year
2023/h2,,Greene Lab Cognitive Oversight,13800.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $13,800 ($13,800)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Haddad Automating Experts,186700.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $186,700 ($82,700)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Hayman MLAB Oxford,13700.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $13,700 ($6,700)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Hebbar Cognition Theory,269200.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $269,200 ($203,200)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Hiremath Interpretability Tools,1000.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $1,000 ($0)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Howe RL Safety Research,5900.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $5,900 ($4,900)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Hu Alignment Upskilling,10600.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $10,600 ($9,600)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Jha Agent Foundations Research,100400.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $100,400 ($85,400)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Jones Cybersecurity for AI,32500.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $32,500 ($14,500)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Jose Interpretability Research,50300.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $50,300 ($47,300)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Khan AI Debate Oversight,20000.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $20,000 ($0)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Krachun AI Safety Research,9900.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $9,900 ($8,900)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
