grant_id,post_id,award_date,award_year,organization,title,amount_usd,focus_areas,funding_type,url
grants-2048-0,2048,2018-10-10,2018,Food Frontier,General Support,100000.0,Alternatives to Animal Products; Farm Animal Welfare,Grants,https://coefficientgiving.org/grants/food-frontier-general-support/
grants-2046-0,2046,2018-10-11,2018,University of Edinburgh,Scholarship Program in Applied Animal Behavior and Animal Welfare,102041.0,Farm Animal Welfare,Grants,https://coefficientgiving.org/grants/university-of-edinburgh-scholarship-program-in-applied-animal-behavior-and-animal-welfare/
grants-2058-0,2058,2018-10-24,2018,Boston Children's Hospital,Chronic Pain Research (Yi Zhang),2695376.0,Noninfectious Diseases; Science and Global Health R&D; Transformative Science,Grants,https://coefficientgiving.org/grants/boston-childrens-hospital-chronic-pain-research-yi-zhang/
grants-2034-0,2034,2018-11-05,2018,"University of California, Berkeley","AI Safety Research (Pieter Abbeel, Aviv Tamar)",1145000.0,Navigating Transformative AI,Grants,https://coefficientgiving.org/grants/uc-berkeley-ai-safety-research-2018/
grants-2035-0,2035,2018-11-05,2018,Global Animal Partnership,Farm Animal Welfare Activities,500000.0,Farm Animal Welfare,Grants,https://coefficientgiving.org/grants/global-animal-partnership-farm-animal-welfare-activities-2018/
grants-14733-0,14733,2018-11-08,2018,Viroclinics Biosciences,Broad-Spectrum Antivirals (Contract),421969.0,Infectious Diseases; Science and Global Health R&D; Science Supporting Biosecurity and Pandemic Preparedness,Grants,https://coefficientgiving.org/grants/viroclinics-biosciences-broad-spectrum-antivirals/
grants-1996-0,1996,2018-11-08,2018,"EicOsis Human Health, Inc.",Pain Research (Investment),5000000.0,Human Health and Wellbeing; Noninfectious Diseases; Science and Global Health R&D,Investments,https://coefficientgiving.org/grants/eicosis-human-health-inc-pain-research/
grants-2038-0,2038,2018-11-13,2018,Mike Toscano,Higher Welfare Cage-Free Systems,150000.0,Cage-Free Reforms; Farm Animal Welfare,Grants,https://coefficientgiving.org/grants/university-of-bern-higher-welfare-cage-free-systems/
grants-1720-0,1720,2018-11-16,2018,Daniel Kang,Study of the Robustness of Machine Learning Models (Contract),2351.0,Navigating Transformative AI,Grants,https://coefficientgiving.org/grants/daniel-kang-jacob-steinhardt-yi-sun-and-alex-zhai-study-of-the-robustness-of-machine-learning-models/
grants-2032-0,2032,2018-11-16,2018,Nuclear Threat Initiative,Projects to Reduce Global Catastrophic Biological Risks,1904942.0,Biosecurity & Pandemic Preparedness,Grants,https://coefficientgiving.org/grants/nuclear-threat-initiative-projects-to-reduce-global-catastrophic-biological-risks/
grants-2023-0,2023,2018-11-20,2018,International Genetically Engineered Machine Foundation,Synthetic Biology Safety and Security,420000.0,Biosecurity & Pandemic Preparedness,Grants,https://coefficientgiving.org/grants/igem-synthetic-biology-safety-and-security-2018/
grants-1956-0,1956,2018-11-27,2018,Evidence Action Beta,Iron and Folic Acid Supplementation,3408259.0,GiveWell-Recommended Charities; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/evidence-action-beta-iron-and-folic-acid-supplementation-phase-2/
grants-2013-0,2013,2018-12-05,2018,"University of Minnesota, Twin Cities",Nanomaterials Research (Claudia Schmidt-Dannert),150000.0,Science and Global Health R&D; Transformative Science,Grants,https://coefficientgiving.org/grants/university-of-minnesota-twin-cities-nanomaterials-research-claudia-schmidt-dannert/
grants-1963-0,1963,2018-12-11,2018,Project Healthy Children,General Support,100000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/project-healthy-children-general-support-december-2018/
grants-1945-0,1945,2018-12-12,2018,The Humane League,Latin America Regional Summit,22000.0,Farm Animal Welfare,Grants,https://coefficientgiving.org/grants/the-humane-league-latin-america-regional-summit/
grants-1970-0,1970,2018-12-12,2018,Food Fortification Initiative,General Support,100000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/food-fortification-initiative-general-support-december-2018/
grants-1971-0,1971,2018-12-12,2018,Development Media International,General Support,100000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/development-media-international-general-support-december-2018/
grants-1974-0,1974,2018-12-12,2018,The END Fund,Deworming Programs,2500000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/the-end-fund-deworming-programs-december-2018/
grants-1992-0,1992,2018-12-12,2018,Evidence Action,General Support,10400000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/deworm-the-world-initiative-general-support-december-2018/
grants-1962-0,1962,2018-12-13,2018,"Georgetown University Initiative on Innovation, Development, and Evaluation",Zusha! Road Safety Campaign,100000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/gui2de-zusha-road-safety-campaign-december-2018/
grants-2029-0,2029,2018-12-13,2018,University of Sydney,2019 Global Health Security Conference,32621.0,Biosecurity & Pandemic Preparedness,Grants,https://coefficientgiving.org/grants/the-university-of-sydney-2019-global-health-security-conference/
grants-1978-0,1978,2018-12-18,2018,Against Malaria Foundation,General Support,2500000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/against-malaria-foundation-general-support-december-2018/
grants-1954-0,1954,2018-12-19,2018,Foundation for Food and Agriculture Research,Egg Tech Challenge,3000000.0,Cage-Free Reforms; Farm Animal Welfare,Grants,https://coefficientgiving.org/grants/foundation-for-food-and-agriculture-research-egg-tech-challenge/
grants-2007-0,2007,2018-12-19,2018,Georgia Institute of Technology,Biology Research (Saad Bhamla),50000.0,Science and Global Health R&D; Transformative Science,Grants,https://coefficientgiving.org/grants/georgia-institute-of-technology-biology-research-saad-bhamla/
grants-1984-0,1984,2018-12-20,2018,Malaria Consortium,Seasonal Malaria Chemoprevention Programs,26600000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/malaria-consortium-seasonal-malaria-chemoprevention-programs-december-2018/
grants-1908-0,1908,2018-12-21,2018,Biosecure Ltd,Campaign Against Bioweapons Research (Contract),25000.0,Biosecurity & Pandemic Preparedness,Grants,https://coefficientgiving.org/grants/biosecure-ltd-campaign-against-bioweapons-research/
grants-1967-0,1967,2018-12-21,2018,Global Alliance for Improved Nutrition,Universal Salt Iodization,100000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/global-alliance-for-improved-nutrition-universal-salt-iodization-december-2018/
grants-1972-0,1972,2018-12-21,2018,GiveDirectly,General Support,2500000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/givedirectly-general-support-december-2018/
grants-1980-0,1980,2018-12-21,2018,Helen Keller International,Vitamin A Supplementation,6500000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/helen-keller-international-vitamin-a-supplementation-december-2018/
grants-1990-0,1990,2018-12-28,2018,Evidence Action,Dispensers for Safe Water Program,100000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/evidence-action-dispensers-for-safe-water-program-2018/
grants-1986-0,1986,2019-01-02,2019,Sherlock Biosciences,Research on Viral Diagnostics (Investment),17500000.0,Infectious Diseases; Science and Global Health R&D; Science Supporting Biosecurity and Pandemic Preparedness,Investments,https://coefficientgiving.org/grants/sherlock-biosciences-research-on-viral-diagnostics/
grants-2004-0,2004,2019-01-02,2019,Center for International Security and Cooperation,Megan Palmer’s Biosecurity Research,1625000.0,Biosecurity & Pandemic Preparedness,Grants,https://coefficientgiving.org/grants/center-for-international-security-and-cooperation-megan-palmers-biosecurity-research-2019/
